ID,Name,Description,Start_X (m),Start_Y (m),End_X (m),End_Y (m),Start_X (px),Start_Y (px),End_X (px),End_Y (px),Center (m),Center (px)
1,,,5.03,15.47,6.22,14.89,207,637,256,613,"(5.63, 15.18)","(232, 625)"
2,beacon_2,,12.64,13.92,12.64,13.92,520,573,520,573,"(12.64, 13.92)","(520, 573)"
3,beacon_3,,12.73,12.61,12.73,12.61,524,519,524,519,"(12.73, 12.61)","(524, 519)"
4,beacon_4,,14.41,11.71,14.41,11.71,593,482,593,482,"(14.41, 11.71)","(593, 482)"
5,beacon_5,,13.83,10.91,13.83,10.91,569,449,569,449,"(13.83, 10.91)","(569, 449)"
6,beacon_6,,14.31,10.2,14.31,10.2,589,420,589,420,"(14.31, 10.20)","(589, 420)"
7,beacon_7,,13.66,8.65,13.66,8.65,562,356,562,356,"(13.66, 8.65)","(562, 356)"
8,beacon_8,,13.66,7.7,13.66,7.7,562,317,562,317,"(13.66, 7.70)","(562, 317)"
9,beacon_9,,13.03,6.68,13.03,6.68,536,275,536,275,"(13.03, 6.68)","(536, 275)"
